time,U_Hy_HyEm,P_Mt_HyMe
1,0.083705658,0.528667316
2,0.099125122,0.572722925
3,0.070488975,0.748945364
4,0.061677853,0.969223412
5,0.052866732,0.991251217
6,0.048461171,1.013279022
7,0.035244488,0.925167802
8,0.026433366,0.881112193
9,0.017622244,0.837056583
10,0.013216683,0.793000973
