T_begin,T_eind,FI_rate
0,1,0.029003381
1,2,0.108561429
2,3,0.07300006
3,4,0.060847348
4,5,0.062606297
5,6,0.043976729
6,7,0.03739214
7,8,0.040208786
8,9,0.034634679
9,10,0.026164123
10,11,0.053296168
11,12,0.123572018
12,13,0.044907409
13,14,0.057086056
14,15,0.037396795
15,16,0.017768714
16,17,0.01869873
17,18,0.029906796
18,19,0.029888175
19,20,0.026208014
20,21,0.014950073
21,22,0.007472044
22,23,0.007484679
23,24,0.014969358
