T_begin,T_eind,FI_rate
0,0.5,6.363655463
0.5,1,3.643277311
1,1.5,2.96197479
1.5,2,1.927941177
2,2.5,1.034033613
2.5,3,0.777941177
3,4,0.34789916
4,5,0.26092437
5,6,0.17394958
6,7,0.062815126
7,8,0
8,8.5,6.363655463
8.5,9,3.643277311
9,9.5,2.96197479
9.5,10,1.927941177
10,10.5,1.034033613
10.5,11,0.777941177
11,12,0.34789916
12,13,0.26092437
13,14,0.17394958
14,15,0.062815126
15,24,0
