T_begin,T_eind,FI_rate
0,0.5,6.813261555
0.5,1,3.900682773
1,1.5,3.171244748
1.5,2,2.064154412
2,2.5,1.107090336
2.5,3,0.832904412
3,4,0.372478992
4,5,0.279359244
5,6,0.186239496
6,7,0.067253151
7,10,0
10,10.5,6.813261555
10.5,11,3.900682773
11,11.5,3.171244748
11.5,12,2.064154412
12,12.5,1.107090336
12.5,13,0.832904412
13,14,0.372478992
14,15,0.279359244
15,16,0.186239496
16,17,0.067253151
17,24,0
