DMI,c_DM,NDF,St,Sr,WSC,Acin,Prin,Buin,Lain,k_SdHe,k_FdHe,k_PdPs,k_WrHe,c_HNO3,c_For
18.5,0.391,330.8,205.93,48.62,71.4,9.822,1.637,1.637,19.644,0.099965914,0.035539812,0.044411046,14,0,0.696
19.7,0.523,244.68975,207.1902,88.7958,31.634,5.565,0.9275,0.9275,11.13,0.093797004,0.028938155,0.055395525,14,0,0.66
18.4,0.458,280.1266739,189.0014,81.0006,49.555,12.927,2.1545,2.1545,25.854,0.1,0.024885361,0.053696594,14,0,0.793
